rank,appId,title,url,releaseDate,priceText,finalPriceCents,discountPercent,reviewSummary,reviewPercent,reviewCount,platforms,imageUrl,scrapedAt,currentPlayers,developer,publisher,genres,categories,recommendationsTotal,metacriticScore,shortDescription,isFree,type,demandScore,qualityScore,commercialScore,momentumScore,opportunityScore,marketPosition,opportunityType,pricingPosition,audienceSignal,monetizationSignal,competitiveSignal,intelligenceTags,riskFlags,insightSummary,recommendedAction
451,223750,DCS World Steam Edition,https://store.steampowered.com/app/223750/DCS_World_Steam_Edition/,"Aug 2, 2013",Free,0,,Very Positive,84.0,22806.0,"['windows', 'vr']",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/223750/capsule_231x87.jpg?t=1777887462,2026-06-03T02:00:28.062Z,649.0,,,[],[],,,,,,56,93,62,45,64,Loved niche title,Underserved audience clue,Free-to-play,General Steam audience,Free acquisition funnel,Comparable baseline,"['loved-by-players', 'free-to-play']",[],"DCS World Steam Edition is a loved niche title, opportunity score 64/100, 84% positive from 22,806 reviews, 649 current players.",Mine reviews for the exact language players use; niche love often exposes a product angle.
452,393380,Squad,https://store.steampowered.com/app/393380/Squad/,"Sep 23, 2020",$49.99,4999,0.0,Very Positive,84.0,82640.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/393380/e069cbeca98b633002e2d2202b4cc4ae58138549/capsule_231x87.jpg?t=1778698936,2026-06-03T02:00:28.062Z,8144.0,,,[],[],,,,,,61,94,50,45,64,Standard competitor,Baseline market data,Premium,General Steam audience,Paid upfront,Comparable baseline,['loved-by-players'],[],"Squad is a standard competitor, opportunity score 64/100, 84% positive from 82,640 reviews, 8,144 current players.",Use as baseline competitor data; enrich with reviews for deeper sentiment intelligence.
453,1721470,Poppy Playtime,https://store.steampowered.com/app/1721470/Poppy_Playtime/,"Oct 12, 2021",Free,0,,Very Positive,88.0,60719.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1721470/2d2d1f622b49c8589d67d294e790507715169220/capsule_231x87.jpg?t=1770858202,2026-06-03T02:00:28.062Z,970.0,,,[],[],,,,,,59,98,62,45,67,Loved niche title,Underserved audience clue,Free-to-play,General Steam audience,Free acquisition funnel,Comparable baseline,"['loved-by-players', 'free-to-play']",[],"Poppy Playtime is a loved niche title, opportunity score 67/100, 88% positive from 60,719 reviews, 970 current players.",Mine reviews for the exact language players use; niche love often exposes a product angle.
454,3708070,Campsite Hustle! - Management Simulator,https://store.steampowered.com/app/3708070/Campsite_Hustle__Management_Simulator/,"Jun 2, 2026",$15.29,1529,15.0,Mixed,69.0,13.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3708070/b08d59675242e7f26a500f794ea8e72691d65d9f/capsule_231x87.jpg?t=1780419637,2026-06-03T02:00:28.062Z,93.0,,,[],[],,,,,,37,71,60,55,54,Standard competitor,Baseline market data,Mid-market,General Steam audience,Paid upfront,Comparable baseline,['fresh-release'],"['weak-player-sentiment', 'low-review-confidence']","Campsite Hustle! - Management Simulator is a standard competitor, opportunity score 54/100, 69% positive from 13 reviews, 93 current players, 15% discount.",Use as baseline competitor data; enrich with reviews for deeper sentiment intelligence.
455,22380,Fallout: New Vegas,https://store.steampowered.com/app/22380/Fallout_New_Vegas/,"Oct 19, 2010",$9.99,999,0.0,Overwhelmingly Positive,96.0,167701.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/22380/capsule_231x87.jpg?t=1765992876,2026-06-03T02:00:28.062Z,4286.0,,,[],[],,,,,,61,100,65,45,68,Standard competitor,Baseline market data,Budget,General Steam audience,Paid upfront,Comparable baseline,['loved-by-players'],[],"Fallout: New Vegas is a standard competitor, opportunity score 68/100, 96% positive from 167,701 reviews, 4,286 current players.",Use as baseline competitor data; enrich with reviews for deeper sentiment intelligence.
456,2625420,Drive Beyond Horizons,https://store.steampowered.com/app/2625420/Drive_Beyond_Horizons/,"Mar 24, 2025",$24.99,2499,0.0,Mostly Positive,76.0,6662.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2625420/5e79c9d089ce939fe07f32ff16a27561dd2c0df4/capsule_231x87.jpg?t=1780413252,2026-06-03T02:00:28.062Z,560.0,,,[],[],,,,,,53,84,60,45,61,Standard competitor,Baseline market data,Mid-market,General Steam audience,Paid upfront,Comparable baseline,[],[],"Drive Beyond Horizons is a standard competitor, opportunity score 61/100, 76% positive from 6,662 reviews, 560 current players.",Use as baseline competitor data; enrich with reviews for deeper sentiment intelligence.
457,1426300,The Binding of Isaac: Repentance,https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/,"Mar 30, 2021",$50.96,0,0.0,Very Positive,81.0,6512.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1426300/capsule_231x87.jpg?t=1732645274,2026-06-03T02:00:28.063Z,0.0,,,[],[],,,,,,45,89,50,45,57,Loved niche title,Underserved audience clue,Unknown price,General Steam audience,Paid upfront,Niche love - small but passionate audience,['loved-by-players'],[],"The Binding of Isaac: Repentance is a loved niche title, opportunity score 57/100, 81% positive from 6,512 reviews.",Mine reviews for the exact language players use; niche love often exposes a product angle.
458,3542380,Rune Dice,https://store.steampowered.com/app/3542380/Rune_Dice/,"May 19, 2026",$14.99,1499,0.0,Mostly Positive,75.0,788.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3542380/be46a7d44676c4b49f3826dd1e176bb532b1e0b3/capsule_231x87.jpg?t=1779267089,2026-06-03T02:00:28.063Z,763.0,,,[],[],,,,,,49,81,60,55,60,Standard competitor,Baseline market data,Mid-market,General Steam audience,Paid upfront,Comparable baseline,['fresh-release'],[],"Rune Dice is a standard competitor, opportunity score 60/100, 75% positive from 788 reviews, 763 current players.",Use as baseline competitor data; enrich with reviews for deeper sentiment intelligence.
459,508440,Totally Accurate Battle Simulator,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator/,"Apr 1, 2021",$6.79,679,66.0,Overwhelmingly Positive,98.0,82892.0,"['windows', 'mac']",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/508440/capsule_231x87.jpg?t=1730715415,2026-06-03T02:00:28.063Z,1435.0,,,[],[],,,,,,59,100,80,45,71,Commercially aggressive,Pricing/monetization benchmark,Promotional discount,General Steam audience,Discount-driven sales,Comparable baseline,"['loved-by-players', 'aggressive-discounting']",[],"Totally Accurate Battle Simulator is a commercially aggressive, opportunity score 71/100, 98% positive from 82,892 reviews, 1,435 current players, 66% discount.","Compare discount depth, price tier, and monetization model against similar titles."
460,400750,Call to Arms - Gates of Hell: Ostfront,https://store.steampowered.com/app/400750/Call_to_Arms__Gates_of_Hell_Ostfront/,"Jun 11, 2021",$34.99,3499,0.0,Very Positive,86.0,12542.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/400750/518ba193aa22508abb7271d972098bbbc4f9a8d4/capsule_231x87.jpg?t=1764717941,2026-06-03T02:00:28.063Z,2538.0,,,[],[],,,,,,56,94,50,45,62,Loved niche title,Underserved audience clue,Premium,General Steam audience,Paid upfront,Comparable baseline,['loved-by-players'],[],"Call to Arms - Gates of Hell: Ostfront is a loved niche title, opportunity score 62/100, 86% positive from 12,542 reviews, 2,538 current players.",Mine reviews for the exact language players use; niche love often exposes a product angle.
